product_url,search_term,product_name,product_price,available_quantity
https://www.takealot.com/pure-resin-himalayan-shilajit/PLID93811909,Shilajit,Pure Resin Himalayan Shilajit,R 699,82
https://www.takealot.com/ak-shilajit-complex-60-capsules/PLID91876042,Shilajit,AK Shilajit Complex -60 Capsules,R 199,537
https://www.takealot.com/shilajit-ultra-pure-50-fulvic-acid-extract-500mg/PLID72174901,Shilajit,Shilajit (Ultra Pure 50% Fulvic Acid Extract) - 500mg,R 199,121
https://www.takealot.com/patented-primavie-shilajit-complex-30-capsules/PLID95234254,Shilajit,Patented PrimaVie Shilajit Complex 30 Capsules,R 390,107
https://www.takealot.com/ea-pharma-natural-altai-shilajit/PLID93202836,Shilajit,EA Pharma- Natural Altai Shilajit,R 550,74
https://www.takealot.com/pure-shilajit-1000mg-60-capsules/PLID95144974,Shilajit,Pure Shilajit 1000mg 60 Capsules,R 189,5
https://www.takealot.com/shillajit-capsules/PLID93229354,Shilajit,Shillajit Capsules,R 369,13
https://www.takealot.com/go-earth-shilajit-resin-himalayan-20g/PLID94125628,Shilajit,Go Earth Shilajit Resin (Himalayan) 20g,R 498,25
https://www.takealot.com/premium-shillajit-capsules-60-s/PLID94093583,Shilajit,Premium Shillajit Capsules (60's),R 389,33
https://www.takealot.com/hala-100-pure-shilajit/PLID93369116,Shilajit,Hala 100% Pure Shilajit,R 695,435
https://www.takealot.com/shilajit-capsules-1400mg-2-month-supply/PLID94527272,Shilajit,Shilajit Capsules 1400mg 2 Month Supply,R 379,1
https://www.takealot.com/dream-nutrition-shilajit-capsules/PLID95074670,Shilajit,Dream Nutrition Shilajit + Capsules,R 199,10
https://www.takealot.com/swanson-shilajit-extract-extra-strength-100-mg-30-veg-caps/PLID95283734,Shilajit,Swanson Shilajit Extract - Extra Strength 100 mg 30 Veg Caps,R 279,9
https://www.takealot.com/aa-shilajit-himalayan-mountain-resin/PLID94058949,Shilajit,Aa - Shilajit Himalayan Mountain Resin,R 249,24
https://www.takealot.com/shilajit/PLID94705776,Shilajit,Shilajit,"R 1,950",48
