product_url,search_term,product_name,product_price,available_quantity
https://www.takealot.com/5s-slimming-capsules-3-month-value-pack/PLID91220550,Curcumin Supplements,5s Slimming Capsules (3 Month Value Pack),R 965,9
https://www.takealot.com/curcumin-10-x-high-dose-medical-grade-patented-absorption-techno/PLID93940509,Curcumin Supplements,Curcumin | 10 x High dose | Medical Grade | Patented Absorption Technology,R 375,6
https://www.takealot.com/mega-omega-supreme/PLID27969891,Curcumin Supplements,Mega_Omega Supreme,R 194,170
https://www.takealot.com/ashwagandha-1500mg-high-potency/PLID92774091,Curcumin Supplements,Ashwagandha 1500mg - High Potency,R 145,71
https://www.takealot.com/curcumin-10-x-high-dose-medical-grade-patented-absorption-techno/PLID93940509,Curcumin Supplements,Curcumin | 10 x High dose | Medical Grade | Patented Absorption Technology,R 375,6
https://www.takealot.com/genologix-berberine-1000mg-30-servings-x-90-capsules/PLID73018318,Curcumin Supplements,Genologix - Berberine 1000mg (30 servings x 90 capsules),R 319,197
https://www.takealot.com/lions-mane-mushroom-tablets-3-month-supply/PLID92805510,Curcumin Supplements,Lions Mane Mushroom Tablets 3 Month Supply,R 329,133
https://www.takealot.com/genologix-vitamin-d3-1000-iu-25mcg-120-servings-x-120-capsules/PLID91612068,Curcumin Supplements,Genologix - Vitamin D3 1000 IU 25mcg 120 Servings x 120 Capsules,R 119,93
https://www.takealot.com/inflammation-complex-supplement-with-curcumin-quercetine-30-serv/PLID72164487,Curcumin Supplements,Inflammation Complex (Supplement with Curcumin & Quercetine) - 30 Servings,R 349,22
https://www.takealot.com/vitatech-magnesium-30-tablets/PLID60564465,Curcumin Supplements,VITATECH Magnesium 30 Tablets,R 69,242
https://www.takealot.com/slender-slim-detox/PLID94975456,Curcumin Supplements,Slender Slim Detox,R 195,13
https://www.takealot.com/genologix-coq10-300mg-60-servings-x-60-capsules/PLID91612063,Curcumin Supplements,Genologix - CoQ10 - 300mg 60 Servings x 60 Capsules,R 329,6
https://www.takealot.com/vital-kelp/PLID27832485,Curcumin Supplements,Vital Kelp,R 109,14
